Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,House
1,3,2,4,2,3,1,4,3,2,Gryffindor
2,1,4,3,1,2,4,3,2,1,Slytherin
3,2,1,2,3,4,2,1,4,3,Hufflepuff
4,4,3,1,4,1,3,2,1,4,Ravenclaw
1,2,3,2,2,3,1,4,3,2,Gryffindor
2,3,4,1,3,2,4,1,2,3,Slytherin
3,4,1,3,4,1,2,3,1,4,Hufflepuff
4,1,2,4,1,4,3,2,4,1,Ravenclaw
1,4,3,1,2,3,4,1,3,2,Gryffindor
2,2,1,2,3,4,1,2,4,3,Slytherin
3,1,4,3,4,1,2,3,1,4,Hufflepuff
4,3,2,4,1,2,3,4,2,1,Ravenclaw
1,1,4,2,2,3,1,4,3,2,Gryffindor
2,4,2,3,3,4,2,1,4,3,Slytherin
3,3,1,1,4,1,3,2,1,4,Hufflepuff
4,2,3,4,1,2,4,3,2,1,Ravenclaw
1,3,1,2,2,3,1,4,3,2,Gryffindor
2,1,3,4,3,2,4,1,2,3,Slytherin
3,2,4,1,4,1,2,3,1,4,Hufflepuff
4,4,1,3,1,4,3,2,4,1,Ravenclaw
1,2,2,4,2,3,1,4,3,2,Gryffindor
2,3,1,1,3,4,2,1,4,3,Slytherin
3,4,3,2,4,1,3,2,1,4,Hufflepuff
4,1,4,3,1,2,4,3,2,1,Ravenclaw
1,4,4,2,2,3,1,4,3,2,Gryffindor
2,2,3,1,3,2,4,1,2,3,Slytherin
3,1,2,3,4,1,2,3,1,4,Hufflepuff
4,3,1,4,1,4,3,2,4,1,Ravenclaw
1,1,1,2,2,3,1,4,3,2,Gryffindor
2,4,4,3,3,4,2,1,4,3,Slytherin
3,3,3,1,4,1,3,2,1,4,Hufflepuff
4,2,2,4,1,2,4,3,2,1,Ravenclaw
1,3,3,2,2,3,1,4,3,2,Gryffindor
2,1,2,4,3,2,4,1,2,3,Slytherin
3,2,1,3,4,1,2,3,1,4,Hufflepuff
4,4,4,1,1,4,3,2,4,1,Ravenclaw 